Slide Title,Section Name,Section Level,Level,Supervisory Organization,Position Name,Position ID,Current HC,Future HC,FTE,Country,Stack,Status,DLT,DLT-1,DLT-2,DLT-3,DLT-4,DLT-5,DLT-6
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Head of Clinical Development,P-RNDCD-2469,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Medical Writer,P-RNDCD-4865,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Clinical Development,Decentralised Trials Manager,P-RNDCD-0162,0,2,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Preclinical Research,Bioinformatician,P-RNDPR-6593,2,2,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Preclinical Research,Head of Preclinical Research,P-RNDPR-5378,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Preclinical Research,Laboratory Technician,P-RNDPR-9016,2,0,1.0,"CHE, DEU, ESP",Current,At risk,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Preclinical Research,Research Scientist,P-RNDPR-8958,2,2,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Research & Development,,,,,
Research & Development,Research & Development,DLT-1,DLT-2,Preclinical Research,Study Director,P-RNDPR-5459,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Research & Development,,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-2,Data & Analytics,Data Governance Lead,P-DSGA-7890,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-2,Data & Analytics,Data Steward,P-DSGA-5964,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-2,Data & Analytics,Head of Data & Analytics,P-DSGA-4894,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-2,Data & Analytics,Master Data Analyst,P-DSGA-7039,1,1,1.0,"CHE, DEU, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Analytics Engineer,P-DSGAE-5612,1,1,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Analytics Engineer,P-DSGAE-5612,0,1,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Data Engineer,P-DSGAE-2594,2,2,1.0,"CHE, ESP, SGP",,In selection process,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Data Engineering Manager,P-DSGAE-5922,1,1,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Platform Data Engineer,P-DSGAE-7182,2,2,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Senior Data Engineer,P-DSGAE-6832,2,2,1.0,"CHE, ESP, SGP",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Streaming Data Engineer,P-DSGAE-7563,0,3,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Data Engineering,Data Reliability Engineer,P-DSGAE-9241,0,2,1.0,"CHE, ESP, SGP",Future,Posted,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Analytics Manager,P-DSGAI-7165,0,1,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Business Intelligence Analyst,P-DSGAI-4658,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Data Scientist,P-DSGAI-9081,2,2,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Insights Manager,P-DSGAI-1994,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Reporting Analyst,P-DSGAI-3278,2,2,1.0,"CHE, DEU, IRL",,In selection process,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Data & Analytics,Data & Analytics,DLT-2,DLT-3,Analytics & Insights,Machine Learning Engineer,P-DSGAI-2338,0,2,1.0,"CHE, DEU, IRL",Future,Posted,Aurora Health Group,Digital Solutions Group,Data & Analytics,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-2,Platform Engineering,Enterprise Architect,P-DSGP-1599,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-2,Platform Engineering,Head of Platform Engineering,P-DSGP-9946,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-2,Platform Engineering,Platform Product Owner,P-DSGP-5513,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-2,Platform Engineering,Technical Program Manager,P-DSGP-1207,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,Application Engineer,P-DSGPA-3395,3,3,1.0,"CHE, IRL, POL",,In selection process,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,Application Services Manager,P-DSGPA-8042,1,1,1.0,"CHE, IRL, POL",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,Integration Engineer,P-DSGPA-6058,1,0,1.0,"CHE, IRL, POL",Current,At risk,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,Integration Engineer,P-DSGPA-6058,0,1,1.0,"CHE, IRL, POL",Future,Posted,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,SAP Specialist,P-DSGPA-1894,2,0,1.0,"CHE, IRL, POL",Current,At risk,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Application Services,Salesforce Administrator,P-DSGPA-0278,2,2,1.0,"CHE, IRL, POL",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,Cloud Engineer,P-DSGPC-9503,2,2,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,Cloud Infrastructure Manager,P-DSGPC-0197,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,DevOps Engineer,P-DSGPC-3848,1,1,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,Network Engineer,P-DSGPC-4439,1,0,1.0,"CHE, DEU",Current,At risk,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,Site Reliability Engineer,P-DSGPC-9361,2,2,1.0,"CHE, DEU",,Mapped,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
Platform Engineering,Platform Engineering,DLT-2,DLT-3,Cloud Infrastructure,Platform Security Engineer,P-DSGPC-5013,0,2,1.0,"CHE, DEU",Future,Posted,Aurora Health Group,Digital Solutions Group,Platform Engineering,,,,
